rank,id,artist,title,family,bpm_band,energy,home_if_not_colmado,transition,layer
1,WPiEbYSF9kE,Elvis Crespo,Suavemente,merengue,124,peak,,,door
2,McV4pBRb-Sg,Juan Luis Guerra,La Bilirrubina,merengue,130-138,peak,,,door
3,1DbXzlhKS5s,Wilfrido Vargas,El Africano,merengue,137,peak,,,door
4,_koz_f4mthE,Juan Luis Guerra,A Pedir Su Mano,merengue,128-150,peak,,,door
5,uzU3x_egiEk,Eddy Herrera,Tú Eres Ajena,merengue,128-150,peak,,,door
6,qSi2j6FM0dc,Joe Arroyo,Rebelión,salsa,106 (or ~212 clave),peak,,JUMP,door
7,frsVQWSINAI,El Gran Combo,Me Liberé,salsa,88-110 felt / 170-220 clave,peak,,,door
8,imeXSRNRMeg,Celia Cruz,La Negra Tiene Tumbao,salsa,88-110 felt / 170-220 clave,peak,,,door
9,PmXJKVjhbqI,Frankie Ruiz,La Cura,salsa,88-110 felt / 170-220 clave,peak,,,door
10,UwnmzIgNzyU,Grupo Niche,Una Aventura,salsa,88-110 felt / 170-220 clave,peak,,,door
11,y08MAPIACBY,Cuco Valoy,Juliana,merengue,128-150,peak,,JUMP,door
12,v7324GfdI3Q,Los Cantantes,El Venao,merengue,128-150,peak,,,door
13,HN6ACmknaiw,Los Hermanos Rosario,La Dueña del Swing,merengue,128-150,peak,,,door
14,SUgQHe902yQ,Jerry Rivera,Qué Hay de Malo,salsa,88-110 felt / 170-220 clave,peak,,JUMP,door
15,7wpVJvRIKYQ,Víctor Manuelle,He Tratado,salsa,88-110 felt / 170-220 clave,peak,,,door
16,gxlB1B9emDc,Oscar D'León,Llorarás,salsa,88-110 felt / 170-220 clave,peak,,,sauce
17,AFYJ5axf02o,Celia Cruz,La Vida Es Un Carnaval,salsa,88-110 felt / 170-220 clave,peak,,,sauce
18,af9gVqE9-E8,Héctor Lavoe,Mi Gente,salsa,88-110 felt / 170-220 clave,peak,,,sauce
19,MAq9y0bxTX0,Celia Cruz,Quimbara,salsa,88-110 felt / 170-220 clave,peak,,,sauce
20,-X92muXeN-s,Willie Colón,Che Che Colé,salsa,88-110 felt / 170-220 clave,peak,,,sauce
21,5BPYFIWNehg,Willie Colón y Héctor Lavoe,Aguanile,salsa,88-110 felt / 170-220 clave,peak,,,sauce
22,jqg5n6TtO-U,Sonora Ponceña,Fuego en el 23,salsa,88-110 felt / 170-220 clave,peak,,,sauce
23,0xT7maXs-UU,El Gran Combo,Brujería,salsa,88-110 felt / 170-220 clave,peak,,,sauce
24,ptrvHM0-ceA,Fruko y sus Tesos,El Preso,salsa,88-110 felt / 170-220 clave,peak,,,sauce
25,3CqNeJLqvL0,Elvis Crespo,Tu Sonrisa,merengue,128-150,peak,,JUMP,sauce
26,ub_36MSMrxo,Pochy y su Cocoband,La Peliona,merengue,128-150,peak,,,sauce
27,3SJwKBxKuoM,Juan Luis Guerra 4.40,La Cosquillita,merengue,128-150,peak,,,sauce
28,ASnkzgvBf0o,Olga Tañón,Es Mentiroso,merengue,128-150,peak,,,sauce
29,ihZQAh4jr4M,Juan Luis Guerra 4.40,Las Avispas,merengue,128-150,peak,,,sauce
30,zN138OU1qws,Johnny Ventura,Patacón Pisao,merengue,128-150,peak,,,sauce
31,9x_Zmt4S01s,Juan Luis Guerra 4.40,La Guagua,merengue,128-150,peak,,,sauce
32,hwv_-V5LsHk,Jossie Esteban y la Patrulla 15,El Cantinero,merengue,128-150,peak,,,sauce
33,hBhIA8lDi2c,Elvis Crespo,Píntame,merengue,128-150,peak,,,sauce
34,yGvStabyqIE,Las Chicas del Can,El Negro No Puede,merengue,128-150,peak,,,sauce
35,4Qy0vs80T5M,Proyecto Uno,El Tiburón,merenhouse,120-132,peak,marquesina/limpieza,,sauce
36,x6Y3EFLtnFM,Fulanito,Guallando,merenhouse,120-132,peak,marquesina/limpieza,,sauce
37,BT8Afk8HDxY,Ilegales,La Morena,merenhouse,120-132,peak,marquesina/limpieza,,sauce
38,m29uPaJ0Deo,Grupo Manía,A Que Te Pego Mi Manía,merengue,128-150,peak,,,sauce
39,Zc13NAc7dvM,Gilberto Santa Rosa,Conteo Regresivo (Salsa Version),salsa,88-110 felt / 170-220 clave,peak,,JUMP,sauce
