rank,id,artist,title,family,bpm_band,block,change
1,h6sbZalmiu4,Elvis Crespo,Abracadabra,merengue,128-150,merengue_door,HOLD
2,u6Q5Lu0Sq3g,Chiquito Team Band,La Llamada De Mi Ex,merengue,128-150,merengue_door,was_5_first5_still_owns
3,ExCIp6TOnJw,Yiyo Sarante,Manos de Tijera,salsa,88-110-felt,salsa_block,was_3_forgotten_1
4,QBaIMZ8QjcU,Romeo Santos Marc Anthony,Yo También,salsa,88-110-felt,salsa_block,same_slot
5,3VmoZrxXbmg,Marc Anthony,Flor Pálida,salsa,88-110-felt,salsa_block,was_2
6,HYYjcRx2L30,Yiyo Sarante,Sin Esencia,salsa,88-110-felt,salsa_block,was_7_second_yiyo
7,YXnjy5YlDwk,Marc Anthony,Vivir Mi Vida,salsa,88-110-felt,salsa_block,was_6
8,_oMfwHYSRIk,Gente de Zona Marc Anthony,Traidora,salsa,88-110-felt,salsa_block,same_slot
9,CjLJdR6DXZ4,Víctor Manuelle,No Quería Engañarte,salsa,88-110-felt,salsa_block,was_12
10,lf8xoMhV8pI,Gente de Zona,Si No Vuelves,salsa,88-110-felt,salsa_block,was_10
11,Re93tMg6sfc,Olga Tañón,La Gran Fiesta,merengue,128-150,merengue_return,was_11
12,K3S96fUGrEY,Juan Luis Guerra 4.40,Mambo 23,merengue,128-150,merengue_return,was_43
13,hal7rXfJj5o,Toño Rosario,Dale Vieja Dale,merengue,128-150,merengue_return,same_slot_limpieza_guest
14,A0f-FDFpPZE,Chiquito Team Band,Tengo Que Colgar,merengue,128-150,merengue_return,was_35_second_chiquito
15,hpkaifThmOs,Juan Luis Guerra 4.40,Kitipun,merengue,128-150,merengue_return,was_32_not_consecutive_with_12
