rank,id,artist,title,family,bpm_band,energy,home_if_not_colmado,transition,layer
1,h6sbZalmiu4,Elvis Crespo,Abracadabra,merengue,128-150,peak,,,door
2,u6Q5Lu0Sq3g,Chiquito Team Band,La Llamada De Mi Ex,merengue,128-150,peak,,,door
3,ExCIp6TOnJw,Yiyo Sarante,Manos de Tijera,salsa,88-110 felt,peak,,JUMP,door
4,QBaIMZ8QjcU,"Romeo Santos, Marc Anthony",Yo También,salsa,88-110 felt,peak,,,door
5,3VmoZrxXbmg,Marc Anthony,Flor Pálida,salsa,88-110 felt,peak,,,door
6,HYYjcRx2L30,Yiyo Sarante,Sin Esencia,salsa,88-110 felt,peak,,,door
7,YXnjy5YlDwk,Marc Anthony,Vivir Mi Vida,salsa,88-110 felt,peak,,,door
8,_oMfwHYSRIk,"Gente de Zona, Marc Anthony",Traidora,salsa,88-110 felt,peak,,,door
9,CjLJdR6DXZ4,Víctor Manuelle,No Quería Engañarte,salsa,88-110 felt,peak,,,door
10,lf8xoMhV8pI,Gente de Zona,Si No Vuelves,salsa,88-110 felt,peak,,,door
11,Re93tMg6sfc,Olga Tañón,La Gran Fiesta,merengue,128-150,peak,,JUMP,door
12,K3S96fUGrEY,Juan Luis Guerra 4.40,Mambo 23,merengue,128-150,peak,,,door
13,hal7rXfJj5o,Toño Rosario,Dale Vieja Dale,merengue,128-150,peak,limpieza-door-guest,,door
14,A0f-FDFpPZE,Chiquito Team Band,Tengo Que Colgar,merengue,128-150,peak,,,door
15,hpkaifThmOs,Juan Luis Guerra 4.40,Kitipun,merengue,128-150,peak,,,door
16,qhOPeeZHSWE,Los Hermanos Rosario,Nuevecita de Caja,merengue,128-150,peak,,,sauce
17,7ddBc_Jxbw0,"Elvis Crespo, Fito Blanko",Pegaito Suavecito,merenhouse,120-132,peak,,,sauce
18,wbwFizVMJyw,Chiquito Team Band,Nos Desacatamos,merengue,128-150,peak,,,sauce
19,WENJIxEfyaw,Juan Luis Guerra 4.40,La Noviecita,merengue,128-150,peak,,,sauce
20,bWTfpdD4nRM,Olga Tañón,Vivo La Vida,merengue,128-150,peak,,,sauce
21,8820jXsE4kQ,Chiquito Team Band,Lejos De Ti,merengue,128-150,peak,,,sauce
22,JXLNr85yoKk,Yiyo Sarante,Mi Todo,salsa,88-110 felt,peak,,JUMP,sauce
23,AsCnKFzhFSA,Marc Anthony,Parecen Viernes,salsa,88-110 felt,peak,,,sauce
24,h3W9Om0RtVQ,Yiyo Sarante,Mejor Lo Hago Con La Mano,salsa,88-110 felt,peak,,,sauce
25,1EarnVR8_Og,Marc Anthony,Pa'lla Voy,salsa,88-110 felt,peak,,,sauce
26,eHsR140M2no,Yiyo Sarante,Qué Agonía,salsa,88-110 felt,peak,,,sauce
27,-u6w90uQhTI,Marc Anthony,Cambio de Piel,salsa,88-110 felt,peak,,,sauce
28,YH6DvXUuYJk,Yiyo Sarante,Corazón de Acero,salsa,88-110 felt,peak,,,sauce
29,kjqMFOcRpuI,Marc Anthony,Mala,salsa,88-110 felt,peak,,,sauce
30,virDlRWbA-w,Sergio George's Salsa Giants,Bajo la Tormenta,salsa,88-110 felt,peak,,,sauce
31,zn7XLCPbwfA,"Víctor Manuelle, Yandel",Imaginar,salsa_urbano,88-110 felt,peak,,,sauce
32,llIZRZXmZ8A,Maykel Blanco y su Salsa Mayor,Dale Lo Que Lleva,timba,88-110 felt,peak,,,sauce
33,-gCgSXFctOQ,Ilegales,Meneo,merenhouse,120-132,peak,marquesina/limpieza,JUMP,sauce
34,foPuJr0S6Z0,Olga Tañón,Todo Lo Que Sube y Baja,merengue,128-150,peak,,,sauce
35,JVnY9yR2sYk,"Elvis Crespo, Ebenezer Guerra",Luna Llena,merengue,128-150,peak,,,sauce
36,IKpVd1bzois,"Ilegales, Manny Cruz",Dime Que Sí,merengue_remake,128-150,mid,limpieza-guest,,sauce
